Customer,date,partial,total
NWZ,12/01/2016 04:00:11,630050,34731682
NWZ,12/01/2016 04:00:11,630050,34731682
NWZ,11/01/2016 04:00:11,630775,34101632
NWZ,09/01/2016 04:00:11,642350,33211607
NWZ,08/01/2016 04:00:12,619975,32569257
NWZ,07/01/2016 04:00:14,586425,31949282
NWZ,06/01/2016 04:00:10,590325,31362857
NWZ,05/01/2016 04:00:15,553750,30772532
NWZ,04/01/2016 04:00:14,590275,30218782
NWZ,03/01/2016 04:00:13,576025,29628507
NWZ,02/01/2016 04:00:17,572525,29052482
NWZ,01/01/2016 04:00:15,574625,28479957
NWZ,29/12/2015 04:00:12,559900,27246457
NWZ,28/12/2015 04:00:13,572325,26686557
NWZ,27/12/2015 04:00:14,561650,26114232
NWZ,26/12/2015 04:00:12,580000,25552582
NWZ,25/12/2015 04:00:12,577875,24972582
NWZ,24/12/2015 04:00:15,548775,24394707
NWZ,23/12/2015 02:41:47,500000,23845932
NWZ,22/12/2015 02:58:48,500000,23345932
NWZ,21/12/2015 02:46:56,500000,22845932
NWZ,20/12/2015 02:33:53,500000,22345932
NWZ,19/12/2015 03:28:39,500000,21845932
NWZ,18/12/2015 03:12:57,500000,21345932
NWZ,17/12/2015 02:54:19,500000,20845932
NWZ,16/12/2015 02:59:59,500000,20345932
NWZ,15/12/2015 03:06:53,500000,19845932
NWZ,14/12/2015 03:27:35,500000,19345932
NWZ,13/12/2015 04:00:04,488600,18845932
NWZ,12/12/2015 03:22:33,500000,18357332
NWZ,11/12/2015 04:00:03,496850,17857332
NWZ,10/12/2015 04:00:05,488900,17360482
NWZ,09/12/2015 04:00:03,492625,16871582
NWZ,08/12/2015 04:00:02,489200,16378957
NWZ,07/12/2015 04:00:02,492800,15889757
NWZ,06/12/2015 04:00:04,452350,15396957
NWZ,05/12/2015 04:00:04,470575,14944607
NWZ,04/12/2015 04:00:05,470875,14474032
NWZ,03/12/2015 04:00:06,463675,14003157
NWZ,02/12/2015 04:00:03,429750,13539482
NWZ,01/12/2015 04:00:04,456075,13109732
NWZ,30/11/2015 04:00:05,456425,12653657
NWZ,29/11/2015 04:00:02,470075,12197232
NWZ,28/11/2015 04:00:05,453275,11727157
NWZ,27/11/2015 04:00:05,443425,11273882
NWZ,26/11/2015 04:00:05,448975,10830457
NWZ,25/11/2015 04:00:03,436600,10381482
NWZ,24/11/2015 04:00:03,435050,9944882
NWZ,23/11/2015 04:00:03,416700,9509832
NWZ,20/11/2015 21:48:15,300000,8744457
NWZ,19/11/2015 21:20:59,300000,8444457
NWZ,18/11/2015 21:17:34,300000,8144457
NWZ,18/11/2015 04:00:04,248450,7844457
NWZ,17/11/2015 15:00:04,87700,7596007
NWZ,17/11/2015 09:36:57,0,7508307
NWZ,17/11/2015 04:00:07,103300,7508307
NWZ,16/11/2015 04:00:13,68975,7405007
NWZ,15/11/2015 04:00:09,63475,7336032
NWZ,14/11/2015 04:00:07,63825,7272557
NWZ,13/11/2015 04:00:12,69975,7208732
NWZ,12/11/2015 04:00:10,64900,7138757
NWZ,11/11/2015 04:00:11,51550,7073857
NWZ,10/11/2015 04:00:07,65900,7022307
NWZ,09/11/2015 04:00:07,66625,6956407
NWZ,07/11/2015 04:00:06,67725,6889782
NWZ,06/11/2015 04:00:09,68650,6822057
NWZ,05/11/2015 04:00:09,62550,6753407
NWZ,04/11/2015 04:00:05,63125,6690857
NWZ,03/11/2015 04:00:12,59000,6627732
NWZ,02/11/2015 04:00:05,67175,6568732
NWZ,01/11/2015 04:00:09,67050,6501557
NWZ,31/10/2015 04:00:07,66375,6434507
NWZ,30/10/2015 04:00:08,68925,6368132
NWZ,29/10/2015 04:00:09,64900,6299207
NWZ,28/10/2015 04:00:11,60375,6234307
NWZ,27/10/2015 04:00:13,66800,6173932
NWZ,26/10/2015 04:00:08,61400,6107132
NWZ,25/10/2015 04:00:09,78775,6045732
